Nama Citra;Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Rerata R I;Rerata G I;Rerata B I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Rerata R P;Rerata G P;Rerata B P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
1_w_54;28229;1716;0.32909;100.484596;0.120468;100.074623;13.037955;78.226303;1.791903;0.246082;128.46637;0.684324;46864;3918;0.320859;96.696457;0.038364;66.983696;56.192093;60.600594;1.274994;0.437157;632.664246;0.796046;0.498578;1.802521;0.62655;0.60236;0.437979;2
1_w_57;29936;1857;0.317559;100.655708;0.109089;96.530014;12.770719;74.205933;1.729758;0.263983;130.593307;0.705019;46254;3369;0.324098;91.314514;0.05121;54.389923;45.597225;49.381119;1.046159;0.528518;562.033142;0.83598;0.480992;1.860721;0.745132;0.647209;0.551202;2
1_w_10;47077;3627;0.305292;95.014435;0.04497;67.630997;18.814552;55.492439;1.265814;0.434872;119.645958;0.793471;107636;11595;0.296886;101.879776;0.010061;88.372581;72.681534;79.910042;1.485116;0.309923;711.245178;0.769491;0.336623;2.424465;0.53919;0.437372;0.312807;3
1_w_41_x;40885;2427;0.312261;102.045837;0.087224;91.055893;23.307812;77.860039;1.594395;0.305136;115.391907;0.729141;73463;10614;0.30329;100.712692;0.008194;73.95459;65.54554;69.757355;1.304516;0.402963;953.971191;0.805159;0.443631;1.995888;0.555047;0.556539;0.22866;3
1_w_43;47451;3576;0.295159;96.710106;0.046629;71.031914;20.778919;61.087486;1.296016;0.417154;105.610352;0.789835;119854;7440;0.321126;100.875107;0.027209;106.783585;88.226303;102.57225;1.744149;0.211772;371.825958;0.738346;0.350702;2.429348;0.65852;0.395907;0.480645;3
1_w_52;45654;2667;0.304141;100.692696;0.080657;90.473991;19.693735;71.563293;1.672554;0.300944;117.225296;0.71464;71664;9960;0.293281;89.518936;0.009078;51.837811;41.748299;46.681831;1.030027;0.536167;820.416199;0.841207;0.447246;2.086854;0.591079;0.637056;0.267771;3
1_w_56;45967;4341;0.290559;92.141144;0.030653;57.804455;16.933208;46.195354;1.076397;0.509458;109.246918;0.830102;89742;13656;0.260011;90.850258;0.006047;54.246933;45.341038;50.986092;1.050896;0.519033;729.680359;0.844871;0.282653;2.67303;0.308387;0.512213;0.317882;3
1_w_58;45638;2724;0.304168;101.324478;0.07729;95.708679;20.719698;76.889503;1.754301;0.274072;123.687828;0.696343;72250;8415;0.299298;92.160667;0.012822;56.045624;45.231918;50.014481;1.091059;0.507619;755.90332;0.832479;0.472028;2.189711;0.590533;0.631668;0.323708;3
1_w_1;21362;2253;0.291615;80.288055;0.052885;53.59433;3.604803;35.326519;1.09674;0.470765;91.464394;0.838221;55845;6345;0.30061;94.336739;0.017431;92.836212;77.90213;90.311501;1.765686;0.238278;718.732056;0.717447;0.309057;2.141635;0.686929;0.382523;0.355083;4
1_w_2;26571;2883;0.269907;78.822845;0.040172;47.085361;3.213614;31.335882;0.954299;0.5365;76.416756;0.862885;83133;7284;0.298452;95.190567;0.01969;106.807716;87.891815;100.771561;1.853484;0.185353;546.632202;0.703876;0.263617;2.270079;0.382189;0.31962;0.395799;4
1_w_4;27744;3951;0.293011;80.014885;0.022334;42.014091;4.592615;30.828033;0.885327;0.607009;104.171722;0.860295;103525;17163;0.275736;98.428963;0.004416;117.019783;102.69265;114.729454;1.940631;0.156128;1071.366943;0.699538;0.216581;2.759078;0.203893;0.267993;0.230205;4
1_w_6;24175;2520;0.244756;77.614738;0.047838;41.88768;2.960404;25.404375;0.880705;0.593185;73.262718;0.87127;83304;6453;0.303837;98.771118;0.025139;108.253006;88.293831;105.792259;1.844766;0.192233;514.322754;0.698922;0.226296;1.926605;0.801374;0.290202;0.390516;4
1_w_9;19085;2235;0.280089;84.268875;0.048012;51.12286;2.351831;28.121052;0.985978;0.527043;91.718582;0.858282;56032;5901;0.310033;102.93399;0.020221;106.069221;88.606667;103.863586;1.791843;0.217896;763.548706;0.705785;0.269764;2.100564;0.215322;0.340609;0.378749;4
1_w_11;25016;3132;0.255889;87.618568;0.032047;51.680225;4.833366;35.904469;1.008251;0.543307;101.934074;0.846452;68509;11571;0.281784;103.069992;0.00643;91.676842;80.065941;90.210617;1.608903;0.286579;1118.578613;0.753017;0.258641;2.517685;0.761969;0.365149;0.270677;4
1_w_13;23328;3204;0.281841;83.75679;0.028556;46.544216;4.446972;32.627506;0.961185;0.575428;113.97364;0.850852;80451;6675;0.304265;102.523552;0.02269;117.49601;98.446617;117.956184;1.945899;0.168961;630.393127;0.690547;0.236842;2.550955;0.527076;0.289965;0.48;4
1_w_15;27825;3603;0.299522;84.48333;0.026935;48.269741;6.212831;36.431957;0.996599;0.560932;105.858398;0.839267;101111;13350;0.302451;95.750191;0.007129;127.244247;109.640045;127.073524;2.130931;0.11515;881.85199;0.654922;0.24673;2.680804;0.543452;0.275193;0.269888;4
1_w_16;25063;3276;0.284995;87.559334;0.029346;53.827251;6.675703;35.062561;1.10843;0.518064;171.597839;0.829554;81426;8340;0.308632;98.472725;0.014711;122.582336;103.215118;121.610001;2.061317;0.137963;774.377747;0.663244;0.275176;2.70297;0.397944;0.307801;0.392806;4
1_w_18;32141;3096;0.269012;89.212524;0.042137;56.090225;7.13224;37.254089;1.143724;0.506249;130.656525;0.823169;91662;8820;0.295971;101.758072;0.014807;105.536499;90.121895;103.564163;1.817001;0.214343;717.876587;0.722732;0.284703;2.296736;0.269919;0.350647;0.35102;4
1_w_19;26728;3030;0.229829;84.611855;0.036584;52.170303;5.665218;33.35133;1.092404;0.517383;133.409576;0.833747;73838;8157;0.290576;101.021141;0.013945;96.504333;82.888268;95.581207;1.687557;0.251472;773.039978;0.735202;0.276627;2.435691;0.465545;0.361982;0.37146;4
1_w_20;25520;2961;0.211183;85.894402;0.036577;50.205097;6.4749;31.731888;1.035551;0.548745;135.511261;0.848056;82485;9000;0.301702;101.398582;0.012797;113.901726;94.407936;113.060303;1.958622;0.177562;728.690063;0.686695;0.255297;2.338863;0.388704;0.30939;0.329;4
1_w_21;21478;2544;0.286786;90.768799;0.041703;61.789429;9.561389;38.089767;1.286821;0.456988;173.446854;0.786049;47254;7980;0.302027;101.021111;0.009325;78.179695;68.960938;76.0522;1.386128;0.361031;1209.505615;0.785188;0.318518;2.446154;0.269577;0.454522;0.318797;4
1_w_22;25975;3360;0.230097;89.129433;0.028913;57.572701;5.106359;34.145081;1.141632;0.489349;172.748581;0.82662;69769;10227;0.304136;103.073936;0.008383;100.583267;86.286079;99.343567;1.739846;0.237256;1088.473755;0.721515;0.295473;2.833052;0.464488;0.3723;0.328542;4
1_w_23;27018;2826;0.240641;80.327705;0.042513;45.292259;3.784933;26.178335;0.926786;0.570082;99.496994;0.869737;84676;8109;0.308147;100.312592;0.016182;101.485741;84.776451;100.212814;1.715059;0.227064;543.33606;0.733161;0.241941;2.084071;0.313839;0.319075;0.348502;4
1_w_25;22287;2301;0.286812;87.591187;0.052897;53.167408;6.236484;34.799232;1.096143;0.525628;144.424149;0.832527;56642;9390;0.295292;103.393448;0.008073;86.126297;76.036575;84.727676;1.486555;0.322343;1169.474976;0.770918;0.270657;2.004355;0.468212;0.393471;0.245048;4
1_w_28;24109;2997;0.228662;85.900002;0.03373;53.388783;6.793965;36.448635;1.133805;0.511004;153.091751;0.820895;56087;7881;0.302162;99.019508;0.011348;74.730705;66.800842;74.170853;1.302291;0.377034;955.469055;0.79946;0.280559;2.552811;0.707328;0.42985;0.380282;4
1_W_32;23526;2367;0.290251;87.447533;0.052767;55.296097;6.127589;34.853466;1.137038;0.501607;141.99147;0.829229;58212;8070;0.301872;101.754654;0.011232;85.88311;75.229332;84.334984;1.50514;0.316348;1040.24353;0.769873;0.287351;2.065445;0.467007;0.404143;0.293309;4
1_w_37;26729;2778;0.268234;88.023041;0.043524;59.694721;6.767242;38.680393;1.225633;0.460436;149.432205;0.80797;65547;8913;0.30093;100.677078;0.010368;91.147675;79.159386;89.788986;1.620352;0.277681;906.253479;0.747791;0.316739;2.390706;0.492623;0.407784;0.31168;4
1_w_40;25779;3195;0.251537;91.65593;0.031735;56.111675;9.163449;41.511761;1.115433;0.521214;174.376938;0.823231;80667;12864;0.297362;102.635857;0.006126;118.697083;104.987633;118.281387;1.929097;0.162582;1284.947266;0.690059;0.273271;2.593344;0.420993;0.319573;0.248368;4
1_w_14;24566;2595;0.246068;81.495316;0.045843;44.857864;3.360704;27.934143;0.901899;0.58225;77.984482;0.867648;84892;11016;0.304044;98.772652;0.008791;111.827583;94.074074;110.930969;1.968666;0.173535;807.159119;0.689377;0.233388;1.99923;0.426469;0.289379;0.235566;5
1_w_54_x;24755;2862;0.2586;86.264275;0.037978;56.282974;4.686432;35.534962;1.130208;0.483874;103.748863;0.825714;64007;7032;0.304339;100.618782;0.016266;93.863609;79.661263;92.154076;1.680977;0.263579;700.255371;0.736898;0.299567;2.488696;0.485192;0.386755;0.406997;5
1_w_41;21998;2703;0.292663;81.9757;0.037836;45.297184;6.227897;32.527767;0.94963;0.579523;97.078796;0.84802;67312;10557;0.256538;99.797043;0.00759;94.221832;80.780586;94.530777;1.698767;0.250819;889.328796;0.741876;0.234495;2.204731;0.298608;0.326807;0.256039;4
1_w_42;24778;3237;0.243703;82.439812;0.029716;43.036201;5.158011;29.534195;0.902004;0.610022;93.079346;0.858427;100448;14571;0.297513;96.206154;0.005945;134.576508;111.638016;133.401474;2.257262;0.101401;789.574585;0.623463;0.215014;2.380147;0.384023;0.246675;0.222154;4
1_w_44;21710;2919;0.267856;87.477592;0.032019;51.85902;4.184806;32.191635;1.022542;0.538626;124.145966;0.842759;62205;10488;0.309861;104.697624;0.007106;103.3041;86.489014;102.105324;1.79324;0.232791;979.662659;0.706817;0.260969;2.529463;0.284552;0.349007;0.278318;4
1_w_47;21322;2217;0.262089;82.071136;0.054514;44.181767;3.262935;29.155399;0.877916;0.595098;77.743477;0.870148;69912;11934;0.275954;103.721191;0.006169;105.476974;91.760406;104.23291;1.734732;0.221753;1000.414429;0.727459;0.225234;1.796596;0.21691;0.304983;0.185772;4
1_w_49;24635;2949;0.269182;82.115013;0.035597;45.064529;3.515637;29.148563;0.927662;0.584026;82.895973;0.860449;82389;10347;0.285034;100.907562;0.009671;109.714302;91.933456;109.176308;1.873704;0.191699;664.639221;0.703558;0.232268;2.247713;0.279;0.299008;0.28501;4
1_w_51;25111;2835;0.259127;85.368202;0.039262;53.0163;3.651864;32.216431;1.052402;0.513278;95.733459;0.840997;62244;10827;0.293072;100.007088;0.006673;84.082115;71.19297;82.851471;1.523762;0.316529;858.503601;0.762184;0.27921;2.3625;0.476536;0.403428;0.261845;4
1_w_55;26343;2733;0.26742;83.091461;0.04432;44.934856;4.206969;30.315439;0.914636;0.592508;74.337639;0.860209;80105;10758;0.284666;103.780502;0.008698;94.799965;83.673035;93.715233;1.582623;0.276846;805.872009;0.762789;0.227089;1.997807;0.413869;0.328856;0.254043;4
1_w_59;22428;2790;0.252406;88.054199;0.036207;53.589027;4.449983;33.679066;1.040946;0.524922;110.03566;0.840315;57705;8796;0.302761;103.023567;0.009372;87.094757;76.220238;85.795212;1.490368;0.313003;1011.255554;0.770458;0.2707;2.417678;0.678841;0.388666;0.31719;4
1_w_59_x;24165;2493;0.244335;76.223686;0.04886;39.86182;2.843676;24.226318;0.84121;0.610544;67.675446;0.87803;83865;6696;0.305382;98.969337;0.023505;103.887138;84.496307;101.729118;1.785524;0.211936;488.952759;0.711438;0.215357;1.860448;0.802363;0.288142;0.372312;4
1_w_60;24465;2805;0.271309;82.368484;0.039074;45.704185;3.738966;29.411169;0.923217;0.578635;77.61599;0.864928;84333;7155;0.286584;100.364197;0.020701;114.662308;95.445816;113.635124;1.920555;0.172709;538.717285;0.701018;0.235966;2.164352;0.263134;0.2901;0.392034;4
1_w_64;24566;2988;0.235036;81.217659;0.034577;44.280972;5.413339;30.215269;0.945231;0.58736;86.913788;0.850818;87047;10215;0.302675;99.526833;0.010483;114.981194;98.054268;115.027985;1.963913;0.164111;750.151794;0.693338;0.229855;2.280916;0.475406;0.282215;0.292511;4
1_w_65;22222;3060;0.270469;86.896706;0.029823;52.05814;4.018881;30.598448;1.023886;0.531019;128.423965;0.847216;66102;6975;0.320476;103.300667;0.017074;106.966621;88.807518;105.213753;1.859147;0.211911;791.478333;0.693686;0.266065;2.647059;0.29067;0.336177;0.43871;4
1_w_67;28767;3177;0.268321;84.513657;0.035815;48.161037;4.560038;32.478539;0.98013;0.563164;83.285995;0.851655;82929;9099;0.31853;102.208664;0.012587;93.596443;79.407623;91.503639;1.603989;0.277356;703.96344;0.748829;0.245956;2.322368;0.206461;0.346887;0.349159;4
1_w_68;21093;2370;0.238703;84.001549;0.04719;50.37096;3.078331;28.888916;0.996981;0.533229;96.36676;0.85057;61680;5670;0.306797;102.803474;0.024109;103.020096;86.34359;101.14135;1.726639;0.231634;538.393127;0.731845;0.265207;2.097345;0.176679;0.341975;0.417989;4
1_w_69;24564;3057;0.255134;83.934746;0.033031;47.951252;4.374964;29.343025;0.960031;0.561059;97.815948;0.858038;69883;11262;0.295662;100.733315;0.006924;89.964699;76.636833;88.723015;1.620067;0.282528;935.387085;0.747978;0.24655;2.418513;0.731149;0.351502;0.271444;4
1_w_70;21016;2580;0.227055;81.240654;0.039675;44.355038;2.57615;26.245943;0.880473;0.586195;91.856087;0.870488;63203;10683;0.294422;101.095078;0.006959;91.148453;78.92482;91.210236;1.64106;0.274457;1023.156311;0.745599;0.230285;2.114754;0.240453;0.332516;0.241505;4
1_w_71;20358;2364;0.259443;83.528702;0.045777;45.828423;3.095705;28.97995;0.897164;0.584193;86.119766;0.869041;61960;8856;0.290695;105.279182;0.009928;98.234276;85.848396;97.017815;1.599652;0.264079;907.989868;0.752614;0.231921;1.993255;0.217948;0.328567;0.266938;4
1_w_72;22294;2658;0.273231;85.991188;0.039654;51.924362;3.272924;30.889425;1.000564;0.530719;81.719894;0.854257;55502;8907;0.3015;101.039436;0.008791;81.122551;70.278709;79.432945;1.427956;0.344325;1012.578796;0.772881;0.267748;2.299308;0.146479;0.401679;0.298417;4
1_w_76;21243;2730;0.270453;82.270386;0.035818;44.653362;3.035868;26.345972;0.887874;0.589322;93.025002;0.870385;59808;10047;0.295466;102.086006;0.007446;84.420189;73.351944;82.767464;1.50586;0.326366;1030.741455;0.76641;0.228125;2.234043;0.200328;0.355187;0.271723;4
1_w_77;25090;2850;0.238666;84.806694;0.038817;49.319324;4.366438;34.682728;0.996218;0.551062;88.392387;0.849195;69335;9306;0.307332;101.278831;0.010061;89.306305;77.412735;88.857491;1.585023;0.291597;846.496826;0.754022;0.253773;2.265501;0.428488;0.361866;0.306254;4
1_w_78;24277;2697;0.263379;90.951561;0.041941;63.861416;4.805075;41.032982;1.217487;0.441309;103.654099;0.814918;58000;7788;0.312312;102.010063;0.012017;92.613174;79.831772;90.215218;1.616952;0.278862;860.387512;0.742681;0.330853;2.488007;0.782856;0.418569;0.346302;4
1_w_80;26155;3195;0.221485;84.465363;0.032198;48.185165;4.071557;33.319904;0.963212;0.562657;89.663422;0.855681;89782;7872;0.298126;100.538841;0.018207;120.151497;100.261948;119.629761;1.999642;0.154716;602.987183;0.682823;0.246162;2.450153;0.42932;0.291317;0.405869;4
1_w_81;25649;2772;0.288879;84.799316;0.041946;48.010906;4.845382;31.782619;0.966924;0.567505;71.155144;0.856199;87865;8178;0.308796;100.563499;0.016509;118.170464;101.131371;116.922508;1.920322;0.162578;560.720581;0.705822;0.243465;2.129032;0.388996;0.291914;0.338958;4
1_w_84;23242;2472;0.281077;82.793716;0.047795;46.478577;2.895856;28.827478;0.926244;0.571757;79.03289;0.863248;70233;7728;0.304047;102.888199;0.014778;98.5159;85.814339;96.842438;1.619953;0.25512;642.799316;0.749643;0.240322;1.987138;0.747305;0.330927;0.319876;4
1_w_85;19363;2070;0.273721;85.405586;0.056786;51.129829;3.345263;30.85471;0.99539;0.534699;89.202812;0.857992;56772;5883;0.30844;102.42672;0.020613;103.046204;88.752602;101.062706;1.72766;0.228742;716.234558;0.728364;0.264703;1.913124;0.347193;0.341066;0.351861;4
1_w_87;19054;2649;0.200036;84.191643;0.034122;51.351315;3.868179;26.954893;1.033406;0.522797;102.227638;0.842475;53171;6291;0.303015;100.958542;0.016883;95.580086;82.227318;94.725983;1.710641;0.25209;720.604187;0.733715;0.271979;2.461896;0.280314;0.358353;0.421078;4
2_w_23;34516;5310;0.266407;113.51754;0.015383;86.118233;3.905117;62.744419;1.373861;0.392962;204.010391;0.783313;49347;5700;0.293502;89.513374;0.019086;39.191608;20.349482;36.529057;0.799858;0.679553;756.080444;0.859635;0.365636;4.317073;0.641676;0.699455;0.931579;0
2_w_32;35058;4125;0.284913;103.939117;0.025891;89.479965;3.743256;57.984283;1.493047;0.320811;152.040207;0.780448;51241;5775;0.29516;92.22876;0.019307;46.334049;24.662933;42.302662;0.967931;0.61106;686.205322;0.830405;0.426787;3.593206;0.823789;0.684179;0.714286;0
2_w_39;33770;4197;0.317304;92.53318;0.024091;53.024254;4.99591;39.923203;0.963842;0.559559;133.776978;0.857454;80105;8115;0.299618;102.780922;0.015286;73.593216;46.917862;68.009377;1.353413;0.421155;648.134827;0.771375;0.247508;2.839648;0.647347;0.421572;0.51719;1
2_w_62_1;20008;4827;0.285588;92.114777;0.010791;51.737225;4.710157;39.125301;0.963527;0.565891;153.96843;0.846415;53202;3783;0.318213;101.706314;0.046716;82.523308;37.33897;73.88443;1.603397;0.346272;504.785461;0.716395;0.240042;4.175606;0.459537;0.376076;1.275971;1
2_w_65;20284;5091;0.275871;87.590416;0.009835;44.113846;3.903764;32.860516;0.830607;0.625495;136.629166;0.871534;62077;4398;0.314168;104.534569;0.04033;88.261269;40.147148;77.670868;1.677697;0.324922;465.903717;0.702434;0.202496;4.021327;0.906918;0.326755;1.157572;1
2_w_80;16758;5052;0.258324;86.344475;0.008251;42.425598;2.400402;28.769777;0.80611;0.636625;124.053085;0.873828;51165;5799;0.308828;103.734344;0.01912;85.289352;37.241817;75.021118;1.678195;0.337056;550.333069;0.700099;0.194666;4.303237;0.154362;0.327529;0.871185;1
1_w_61;35370;2163;0.323093;98.685555;0.095002;94.78495;11.40445;71.332748;1.730288;0.265076;92.218475;0.705153;41328;4272;0.304019;54.995281;0.028457;16.242943;10.261704;13.335979;0.401399;0.826929;425.10318;0.935596;0.480531;1.984404;0.872969;0.855836;0.50632;2
1_w_62;28675;1773;0.328149;97.982964;0.114629;81.863541;7.540729;63.584141;1.455858;0.34168;79.264336;0.755105;51670;6786;0.298364;96.948975;0.0141;66.844055;55.822926;62.49493;1.251133;0.433723;771.653992;0.809442;0.411808;1.678977;0.626729;0.554964;0.261273;2
1_w_73;30217;1833;0.326737;96.383789;0.113015;87.829041;10.372195;68.106903;1.624515;0.292636;93.447548;0.72114;52005;5376;0.297494;94.358109;0.022612;64.62468;51.089264;59.328587;1.26199;0.438314;616.830261;0.802041;0.454391;1.776163;0.742241;0.58104;0.34096;2
1_w_74;28051;1779;0.326718;98.493294;0.11138;104.039856;9.786852;75.411667;1.822484;0.217482;110.560127;0.693664;39564;3501;0.309026;83.948257;0.040563;43.536842;32.625607;38.990719;0.937352;0.599002;581.98645;0.848855;0.528088;1.929501;0.82028;0.709003;0.508141;2
1_w_75;27992;1665;0.327334;93.400665;0.126886;111.627441;7.09758;75.281837;1.903083;0.16502;98.543686;0.681309;36108;2292;0.328987;75.226006;0.086374;33.982471;24.80364;28.6234;0.782545;0.673632;430.282104;0.873459;0.589057;1.900685;0.755375;0.77523;0.72644;2
1_w_82;28411;1833;0.326383;99.724953;0.10626;98.302895;9.872741;73.735031;1.727591;0.25146;104.09259;0.704283;41691;3381;0.316265;87.373352;0.045831;47.714973;36.251308;39.760468;0.99907;0.575378;595.901367;0.840591;0.493324;1.909375;0.766627;0.681466;0.542147;2
1_w_83;31929;2625;0.309903;98.83963;0.058229;81.037651;14.91349;66.616318;1.449358;0.351768;106.52182;0.751408;55232;8154;0.293669;92.955658;0.010439;58.690578;47.159119;55.219219;1.15795;0.482663;792.454041;0.821333;0.402357;2.327128;0.612345;0.578089;0.321928;2
1_w_88;25276;1617;0.324151;96.417366;0.121478;101.636589;4.802803;64.083847;1.596047;0.220138;104.462341;0.748641;33540;2712;0.325047;75.983658;0.057305;34.544571;25.143148;28.77507;0.793659;0.668006;561.594971;0.863631;0.527056;1.84589;0.56382;0.753608;0.596239;2
2_W_3;31272;1860;0.32712;81.669861;0.11359;60.147167;3.625881;36.945744;1.176414;0.415137;54.661762;0.831701;63862;9330;0.283907;90.951286;0.009219;68.969833;58.829086;59.840786;1.363849;0.38466;705.915955;0.796982;0.352818;1.560403;0.777433;0.489681;0.199357;2
2_w_4;31423;1743;0.329848;76.837029;0.129976;51.963676;4.30311;32.996475;1.104722;0.466022;41.739338;0.829943;74090;14343;0.28596;89.97776;0.004526;76.88768;67.550598;68.600624;1.536798;0.310643;893.609497;0.77187;0.314686;1.378956;0.843027;0.424119;0.121523;2
2_w_5;30828;1812;0.329792;83.803444;0.117988;73.998848;4.546068;45.069046;1.403075;0.310736;65.051323;0.785517;52924;6291;0.303815;85.231056;0.016804;57.50423;46.648888;46.500996;1.228652;0.454961;561.47345;0.80577;0.439145;1.709434;0.652555;0.582496;0.288031;2
2_w_6;29671;1755;0.328517;81.26535;0.121056;63.496323;3.243705;38.10675;1.207348;0.380724;58.075661;0.831024;58987;7749;0.280951;87.568787;0.012345;67.478813;55.548286;56.844116;1.423934;0.374871;615.75293;0.783979;0.380017;1.569767;0.546635;0.503009;0.226481;2
